carat,price,color
0.23,326,1
0.21,326,1
0.23,327,1
0.29,334,5
0.31,335,6
0.24,336,6
0.24,336,5
0.26,337,4
0.22,337,1
0.23,338,4
0.30,339,6
0.23,340,6
0.22,342,2
0.31,344,6
0.20,345,1
0.32,345,1
0.30,348,5
0.30,351,6
0.30,351,6
0.30,351,6
0.30,351,5
0.23,352,1
0.23,353,4
0.31,353,6
0.31,353,6
0.23,354,3
0.24,355,5
0.30,357,6
0.23,357,0
0.23,357,2
0.23,402,2
0.23,402,2
0.23,402,1
0.23,402,1
0.23,402,0
0.23,402,2
0.23,402,1
0.31,402,4
0.26,403,0
0.33,403,5
0.33,403,5
0.33,403,6
0.26,403,0
0.26,403,0
0.32,403,4
0.29,403,2
0.32,403,4
0.32,403,4
0.25,404,1
0.29,404,4
0.24,404,2
0.23,404,3
0.32,404,5
0.22,404,1
0.22,404,0
0.30,405,5
0.30,405,6
0.30,405,5
0.30,405,5
0.30,405,5
0.35,552,5
0.30,552,0
0.30,552,0
0.30,552,0
0.42,552,5
0.28,553,3
0.32,553,5
0.31,553,3
0.31,553,3
0.24,553,1
0.24,553,0
0.30,554,4
0.30,554,4
0.30,554,4
0.30,554,4
0.26,554,2
0.26,554,1
0.26,554,0
0.26,554,0
0.26,554,1
0.26,554,1
0.26,554,0
0.26,554,1
0.38,554,5
0.26,554,1
0.24,554,3
0.24,554,4
0.24,554,4
0.24,554,4
0.32,554,5
0.70,2757,1
0.86,2757,1
0.70,2757,3
0.71,2759,1
0.78,2759,3
0.70,2759,1
0.70,2759,2
0.96,2759,2
0.73,2760,1
0.80,2760,4
0.75,2760,0
0.75,2760,1
0.74,2760,3
0.75,2760,3
0.80,2760,5
0.75,2760,3
0.80,2760,3
0.74,2761,5
0.81,2761,2
0.59,2761,1
0.80,2761,2
0.74,2761,1
0.90,2761,5
0.74,2762,3
0.73,2762,2
0.73,2762,2
0.80,2762,2
0.71,2762,3
0.70,2762,1
0.80,2762,2
0.71,2762,0
0.74,2762,1
0.70,2762,2
0.70,2762,2
0.70,2762,2
0.70,2762,2
0.91,2763,4
0.61,2763,0
0.91,2763,4
0.91,2763,4
0.77,2763,4
0.71,2764,0
0.71,2764,0
0.70,2765,1
0.77,2765,4
0.63,2765,1
0.71,2765,2
0.71,2765,2
0.76,2765,4
0.64,2766,3
0.71,2766,3
0.71,2766,3
0.70,2767,0
0.70,2767,2
0.71,2767,0
0.70,2767,4
0.71,2768,3
0.73,2768,0
0.70,2768,0
0.70,2768,1
0.71,2768,0
0.74,2769,5
0.71,2770,0
0.73,2770,3
0.76,2770,2
0.76,2770,0
0.71,2770,2
0.73,2770,3
0.73,2770,3
0.73,2770,0
0.73,2770,3
0.72,2771,4
0.73,2771,2
0.71,2771,3
0.79,2771,2
0.73,2772,4
0.80,2772,2
0.58,2772,3
0.58,2772,2
0.71,2772,1
0.75,2773,0
0.70,2773,0
1.17,2774,6
0.60,2774,1
0.70,2774,1
0.83,2774,5
0.74,2775,2
0.72,2776,3
0.71,2776,1
0.71,2776,1
0.54,2776,1
0.54,2776,1
0.72,2776,3
0.72,2776,3
0.72,2776,3
0.71,2776,3
0.70,2777,0
0.71,2777,2
0.71,2777,2
0.71,2777,2
0.71,2777,2
0.70,2777,1
0.70,2777,1
0.70,2777,1
0.70,2777,1
0.70,2777,1
0.70,2777,1
0.70,2777,1
0.70,2777,1
0.72,2777,2
0.70,2777,1
0.70,2777,1
0.70,2777,1
0.70,2777,1
0.98,2777,4
0.78,2777,2
0.70,2777,1
0.52,2778,2
0.73,2779,4
0.74,2779,1
0.70,2780,2
0.77,2780,3
0.71,2780,2
0.74,2780,3
0.70,2780,3
1.01,2781,2
0.77,2781,4
0.78,2781,4
0.72,2782,4
0.53,2782,0
0.76,2782,3
0.70,2782,1
0.70,2782,1
0.75,2782,0
0.72,2782,0
0.72,2782,0
0.70,2782,0
0.84,2782,3
0.75,2782,2
0.52,2783,2
0.72,2784,2
0.79,2784,4
0.72,2787,2
0.51,2787,2
0.64,2787,0
0.70,2788,4
0.83,2788,5
0.76,2788,5
0.71,2788,0
0.77,2788,3
0.71,2788,2
1.01,2788,1
1.01,2788,4
0.77,2789,2
0.76,2789,1
0.76,2789,1
0.76,2789,1
1.05,2789,6
0.81,2789,3
0.70,2789,1
0.55,2789,3
0.81,2789,3
0.63,2789,1
0.63,2789,1
0.77,2789,4
1.05,2789,6
0.64,2790,3
0.76,2790,5
0.83,2790,2
0.71,2790,2
0.71,2790,2
0.87,2791,5
0.73,2791,1
0.71,2792,1
0.71,2792,1
0.71,2792,1
0.70,2792,2
0.70,2792,2
0.76,2792,4
0.70,2792,2
0.79,2793,3
0.70,2793,1
0.70,2793,1
0.76,2793,5
0.73,2793,4
0.79,2794,1
0.71,2795,1
0.81,2795,5
0.81,2795,2
0.72,2795,2
0.72,2795,0
0.72,2795,5
0.81,2795,4
0.72,2795,3
1.00,2795,5
0.73,2796,1
0.81,2797,4
0.81,2797,1
0.71,2797,0
0.71,2797,0
0.71,2797,0
0.57,2797,2
0.51,2797,0
0.72,2797,3
0.74,2797,4
0.74,2797,4
0.70,2797,3
0.80,2797,2
1.01,2797,1
0.80,2797,4
